,Environment,Transition Type,Num GT Clusters,Num Learned Clusters,Num Rollouts,Algorithm,Initialisation,Replicate,Iterations,Responsibility Matrix,Reward Weights,Runtime (s)
0,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,0,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.77109793955732, 9.78738425868087], [9.915643834229874, 0.0], [9.6763058830404, 0.0], [9.991298633288206, 9.171137557810441], [10.0, 6.652381223455423]]]",12.55756
1,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,1,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.411965673697393, 9.517802123028364], [10.0, 0.0], [9.776407399239643, 0.0], [9.417307544672079, 8.987996221420152], [9.746973776929726, 7.08830330491227]]]",12.470193
2,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,2,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.118667534974525, 8.577589951456861], [9.176100857810574, 0.0], [6.956050137461134, 0.0], [10.0, 9.856327856152246], [8.91591306202578, 5.349722926457224]]]",12.603094
3,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,3,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.500348315432293, 9.229144332820542], [9.103622684060907, 0.0], [10.0, 0.0], [9.325809290058151, 8.868741070143974], [9.37063932204904, 7.419799864950812]]]",12.499299
4,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,4,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.682289639928813, 8.754029611919014], [8.604207690694924, 0.0], [10.0, 0.0], [8.647904485475719, 7.896008150335578], [8.963663572315202, 6.437410628300691]]]",12.715205000000001
5,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,5,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.323254522106957, 9.43602882170611], [9.800578333186102, 0.0], [10.0, 0.0], [8.787389554560587, 8.418224651466357], [9.733247720713845, 6.816623915863515]]]",12.690053
6,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,6,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.921622600934638, 8.853125610219841], [8.562358910819489, 0.0], [10.0, 0.0], [8.609233720018262, 8.50206546824662], [9.107300750048557, 6.973753075308223]]]",12.45762
7,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,7,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.575545394028481, 9.687127158694295], [9.659352045651094, 0.0], [10.0, 0.0], [9.796837772867747, 9.103697263500766], [9.906958603031068, 5.282390045740371]]]",13.439485999999999
8,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,8,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.17930523022099, 9.286291965585415], [9.804245650266283, 0.0], [9.816804448824156, 0.0], [8.742507290126644, 7.75350370866211], [9.5134902238219, 6.601241394157237]]]",12.621118
9,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,9,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.359845148151244, 8.523503678324818], [8.187488047456801, 0.0], [9.839290260183025, 0.0], [7.9732356921431595, 7.207504664613198], [8.759129066952225, 4.135158043135808]]]",12.551194
10,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,10,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.434046560432753, 8.513190308868825], [8.627680253559616, 0.0], [9.690589013421205, 0.0], [8.11912765206204, 7.792242806145528], [8.834077979522492, 5.42784139956532]]]",12.551006
